,0
CAPEI,0
bm,0
evm,0
pe_op_basic,0
pe_op_dil,0
pe_exi,0
pe_inc,0
dpr,0
npm,0
opmbd,0
opmad,0
gpm,0
ptpm,0
cfm,0
roa,0
roe,0
roce,0
efftax,0
ps,0
pcf,0
debt_ebitda,0
lt_ppent,0
dltt_be,0
debt_assets,0
debt_capital,0
de_ratio,0
aftret_eq,0
aftret_invcapx,0
aftret_equity,0
pretret_noa,0
pretret_earnat,0
GProf,0
equity_invcap,0
debt_invcap,0
totdebt_invcap,0
capital_ratio,0
inv_turn,0
at_turn,0
rect_turn,0
pay_turn,0
cash_conversion,0
intcov,0
intcov_ratio,0
cash_ratio,0
quick_ratio,0
curr_ratio,0
sale_invcap,0
sale_equity,0
sale_nwc,0
int_debt,0
int_totdebt,0
cash_lt,0
invt_act,0
rect_act,0
debt_at,0
short_debt,0
curr_debt,0
lt_debt,0
profit_lct,0
ocf_lct,0
cash_debt,0
fcf_ocf,0
rd_sale,0
adv_sale,0
staff_sale,0
accrual,0
ptb,0
PEG_trailing,0
divyield,0
vwretd,0
ewretd,0
sprtrn,0
Beta,0
BetaSquared,0
Idio_vol,0
spread,0
BM,0
ME,0
Size,0
Momentum,0
ShortTermReversal,0
LME,0
LTurnover,0
PRC,0
VOL,0
SHROUT,0
BIDLO,0
ASKHI,0
OPENPRC,0
market_cap,0
TB3MS,0
T10Y2Y,0
BAA10Y,0
DollarVolume,0
