,0
TICKER,object
CAPEI,float64
bm,float64
evm,float64
pe_op_basic,float64
pe_op_dil,float64
pe_exi,float64
pe_inc,float64
ps,float64
pcf,float64
dpr,float64
npm,float64
opmbd,float64
opmad,float64
gpm,float64
ptpm,float64
cfm,float64
roa,float64
roe,float64
roce,float64
efftax,float64
aftret_eq,float64
aftret_invcapx,float64
aftret_equity,float64
pretret_noa,float64
pretret_earnat,float64
GProf,float64
equity_invcap,float64
debt_invcap,float64
totdebt_invcap,float64
capital_ratio,float64
int_debt,float64
int_totdebt,float64
cash_lt,float64
invt_act,float64
rect_act,float64
debt_at,float64
debt_ebitda,float64
short_debt,float64
curr_debt,float64
lt_debt,float64
profit_lct,float64
ocf_lct,float64
cash_debt,float64
fcf_ocf,float64
lt_ppent,float64
dltt_be,float64
debt_assets,float64
debt_capital,float64
de_ratio,float64
intcov,float64
intcov_ratio,float64
cash_ratio,float64
quick_ratio,float64
curr_ratio,float64
cash_conversion,float64
inv_turn,float64
at_turn,float64
rect_turn,float64
pay_turn,float64
sale_invcap,float64
sale_equity,float64
sale_nwc,float64
rd_sale,float64
adv_sale,float64
staff_sale,float64
accrual,float64
ptb,float64
PEG_trailing,float64
divyield,float64
cash_conversion_imputed,float64
sale_nwc_imputed,float64
divyield_imputed,float64
invt_act_imputed,float64
inv_turn_imputed,float64
curr_ratio_imputed,float64
quick_ratio_imputed,float64
cash_ratio_imputed,float64
ocf_lct_imputed,float64
profit_lct_imputed,float64
curr_debt_imputed,float64
pretret_earnat_imputed,float64
pretret_noa_imputed,float64
rect_act_imputed,float64
PEG_trailing_imputed,float64
sale_equity_imputed,float64
int_totdebt_imputed,float64
int_debt_imputed,float64
intcov_ratio_imputed,float64
ptb_imputed,float64
bm_imputed,float64
debt_ebitda_imputed,float64
pe_inc_imputed,float64
pe_op_dil_imputed,float64
pe_op_basic_imputed,float64
pe_exi_imputed,float64
COMNAM,object
SHRCD,float64
EXCHCD,float64
SICCD,float64
PRC,float64
VOL,float64
RET,float64
SHROUT,float64
BIDLO,float64
ASKHI,float64
OPENPRC,float64
vwretd,float64
ewretd,float64
sprtrn,float64
TICKER_encoded,float64
SHRCD_encoded,float64
EXCHCD_encoded,float64
SICCD_encoded,float64
market_cap,float64
RET_calc,float64
RET_interp,float64
LME,float64
LTurnover,float64
DollarVolume,float64
spread,float64
Volatility,float64
Beta,float64
BetaSquared,float64
idio_vol,float64
r2_1,float64
r12_2,float64
r12_7,float64
r36_13,float64
RET_lag_1_mon,float64
52_week_high,float64
Rel_to_high,float64
SUV,float64
TB3MS,float64
T10Y2Y,float64
BAA10Y,float64
BM,float64
ME,float64
Size,float64
Momentum,float64
ShortTermReversal,float64
