,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER
0,2010-01-31,23.091,0.202,12.573,9.688,9.688,10.046,10.046,4.107,15.381,0.734,0.205,0.316,0.277,0.679,0.266,0.245,0.217,0.27,0.256,0.219,0.285,0.246,0.285,0.893,0.36,0.47,0.819,0.166,0.41,0.168,0.088,0.036,0.335,0.154,0.223,0.25,1.142,0.596,0.612,0.205,0.728,0.615,0.385,0.756,2.5,0.194,0.491,0.422,0.985,17.01,21.625,0.548,0.959,1.134,65.941,4.217,0.693,9.109,1.954,1.136,1.388,15.193,0.0,0.094,0.0,-0.042,5.013,1.519,0.0302,KO
1,2010-02-28,21.273,0.201,14.863,17.342,17.457,17.993,17.993,3.921,14.846,0.557,0.22,0.311,0.276,0.677,0.289,0.263,0.216,0.286,0.257,0.228,0.301,0.301,0.301,0.817,0.359,0.431,0.816,0.166,0.39,0.169,0.091,0.034,0.395,0.134,0.214,0.244,1.231,0.573,0.588,0.217,0.702,0.597,0.351,0.757,2.44,0.192,0.479,0.349,0.941,20.223,24.068,0.671,1.108,1.279,72.46,4.405,0.695,9.051,7.316,1.019,1.25,8.091,0.0,0.09,0.0,-0.031,4.607,1.609,0.0311,KO
2,2010-03-31,22.193,0.201,14.863,18.092,18.212,18.771,18.771,4.091,15.488,0.557,0.22,0.311,0.276,0.677,0.289,0.263,0.216,0.286,0.257,0.228,0.301,0.301,0.301,0.817,0.359,0.431,0.816,0.166,0.39,0.169,0.091,0.034,0.395,0.134,0.214,0.244,1.231,0.573,0.588,0.217,0.702,0.597,0.351,0.757,2.44,0.192,0.479,0.349,0.941,20.223,24.068,0.671,1.108,1.279,72.46,4.405,0.695,9.051,7.316,1.019,1.25,8.091,0.0,0.09,0.0,-0.031,4.806,1.679,0.032,KO
3,2010-04-30,21.585,0.201,14.863,17.582,17.699,18.242,18.242,3.979,15.064,0.557,0.22,0.311,0.276,0.677,0.289,0.263,0.216,0.286,0.257,0.228,0.301,0.301,0.301,0.817,0.359,0.431,0.816,0.166,0.39,0.169,0.091,0.034,0.395,0.134,0.214,0.244,1.231,0.573,0.588,0.217,0.702,0.597,0.351,0.757,2.44,0.192,0.479,0.349,0.941,20.223,24.068,0.671,1.108,1.279,72.46,4.405,0.695,9.051,7.316,1.019,1.25,8.091,0.0,0.09,0.0,-0.031,4.675,1.632,0.0329,KO
4,2010-05-31,20.947,0.208,13.336,7.957,8.082,8.454,8.454,3.783,13.726,0.545,0.226,0.323,0.283,0.688,0.297,0.269,0.219,0.292,0.255,0.228,0.306,0.253,0.306,0.743,0.349,0.456,0.82,0.165,0.391,0.168,0.073,0.031,0.386,0.14,0.215,0.244,1.141,0.577,0.598,0.215,0.745,0.637,0.351,0.778,2.481,0.192,0.48,0.408,0.939,20.972,24.98,0.646,1.08,1.255,72.46,4.12,0.663,8.545,1.918,1.063,1.297,9.058,0.0,0.09,0.0,-0.033,4.5,0.708,0.0342,KO
5,2010-06-30,20.425,0.208,13.336,7.759,7.881,8.243,8.243,3.689,13.385,0.545,0.226,0.323,0.283,0.688,0.297,0.269,0.219,0.292,0.255,0.228,0.306,0.253,0.306,0.743,0.349,0.456,0.82,0.165,0.391,0.168,0.073,0.031,0.386,0.14,0.215,0.244,1.141,0.577,0.598,0.215,0.745,0.637,0.351,0.778,2.481,0.192,0.48,0.408,0.939,20.972,24.98,0.646,1.08,1.255,72.46,4.12,0.663,8.545,1.918,1.063,1.297,9.058,0.0,0.09,0.0,-0.033,4.388,0.69,0.0351,KO
6,2010-07-31,22.459,0.208,13.336,8.531,8.665,9.064,9.064,4.056,14.717,0.545,0.226,0.323,0.283,0.688,0.297,0.269,0.219,0.292,0.255,0.228,0.306,0.253,0.306,0.743,0.349,0.456,0.82,0.165,0.391,0.168,0.073,0.031,0.386,0.14,0.215,0.244,1.141,0.577,0.598,0.215,0.745,0.637,0.351,0.778,2.481,0.192,0.48,0.408,0.939,20.972,24.98,0.646,1.08,1.255,72.46,4.12,0.663,8.545,1.918,1.063,1.297,9.058,0.0,0.09,0.0,-0.033,4.825,0.759,0.0319,KO
7,2010-08-31,22.293,0.234,13.01,8.267,8.391,8.787,8.787,4.064,14.609,0.53,0.234,0.329,0.29,0.691,0.306,0.276,0.221,0.292,0.258,0.228,0.307,0.255,0.307,0.729,0.351,0.458,0.829,0.158,0.388,0.16,0.072,0.029,0.41,0.133,0.212,0.242,1.109,0.592,0.601,0.208,0.766,0.647,0.351,0.784,2.482,0.181,0.474,0.402,0.917,22.894,27.136,0.683,1.115,1.287,72.46,4.185,0.663,8.508,1.908,1.061,1.281,8.102,0.0,0.09,0.0,-0.03,4.767,0.715,0.0315,KO
8,2010-09-30,23.345,0.234,13.01,8.657,8.787,9.201,9.201,4.256,15.299,0.53,0.234,0.329,0.29,0.691,0.306,0.276,0.221,0.292,0.258,0.228,0.307,0.255,0.307,0.729,0.351,0.458,0.829,0.158,0.388,0.16,0.072,0.029,0.41,0.133,0.212,0.242,1.109,0.592,0.601,0.208,0.766,0.647,0.351,0.784,2.482,0.181,0.474,0.402,0.917,22.894,27.136,0.683,1.115,1.287,72.46,4.185,0.663,8.508,1.908,1.061,1.281,8.102,0.0,0.09,0.0,-0.03,4.992,0.749,0.0301,KO
9,2010-10-31,24.595,0.234,13.01,9.071,9.207,9.642,9.642,4.484,16.118,0.53,0.234,0.329,0.29,0.691,0.306,0.276,0.221,0.292,0.258,0.228,0.307,0.255,0.307,0.729,0.351,0.458,0.829,0.158,0.388,0.16,0.072,0.029,0.41,0.133,0.212,0.242,1.109,0.592,0.601,0.208,0.766,0.647,0.351,0.784,2.482,0.181,0.474,0.402,0.917,22.894,27.136,0.683,1.115,1.287,72.46,4.185,0.663,8.508,1.908,1.061,1.281,8.102,0.0,0.09,0.0,-0.03,5.259,0.785,0.0287,KO
