date,TB3MS,T10Y2Y,BAA10Y
2014-01-01,0.04,,
2014-01-02,0.04,2.61,2.34
2014-01-03,0.04,2.6,2.34
2014-01-06,0.04,2.58,2.32
2014-01-07,0.04,2.56,2.32
2014-01-08,0.04,2.58,2.31
2014-01-09,0.04,2.53,2.31
2014-01-10,0.04,2.49,2.32
2014-01-13,0.04,2.45,2.34
2014-01-14,0.04,2.49,2.34
2014-01-15,0.04,2.49,2.32
2014-01-16,0.04,2.45,2.32
2014-01-17,0.04,2.44,2.33
2014-01-20,0.04,2.44,2.33
2014-01-21,0.04,2.45,2.3
2014-01-22,0.04,2.43,2.3
2014-01-23,0.04,2.4,2.32
2014-01-24,0.04,2.38,2.35
2014-01-27,0.04,2.41,2.36
2014-01-28,0.04,2.39,2.35
2014-01-29,0.04,2.33,2.38
2014-01-30,0.04,2.36,2.36
2014-01-31,0.04,2.33,2.4
2014-02-01,0.05,2.33,2.4
2014-02-03,0.05,2.31,2.39
2014-02-04,0.05,2.33,2.41
2014-02-05,0.05,2.38,2.42
2014-02-06,0.05,2.4,2.4
2014-02-07,0.05,2.41,2.42
2014-02-10,0.05,2.38,2.42
2014-02-11,0.05,2.4,2.39
2014-02-12,0.05,2.45,2.36
2014-02-13,0.05,2.41,2.39
2014-02-14,0.05,2.43,2.38
2014-02-17,0.05,2.43,2.38
2014-02-18,0.05,2.4,2.4
2014-02-19,0.05,2.4,2.41
2014-02-20,0.05,2.42,2.39
2014-02-21,0.05,2.4,2.38
2014-02-24,0.05,2.4,2.38
2014-02-25,0.05,2.36,2.38
2014-02-26,0.05,2.34,2.38
2014-02-27,0.05,2.32,2.36
2014-02-28,0.05,2.33,2.35
2014-03-01,0.05,2.33,2.35
2014-03-03,0.05,2.28,2.37
2014-03-04,0.05,2.37,2.35
2014-03-05,0.05,2.37,2.36
2014-03-06,0.05,2.37,2.37
2014-03-07,0.05,2.42,2.34
2014-03-10,0.05,2.42,2.36
2014-03-11,0.05,2.4,2.37
2014-03-12,0.05,2.36,2.38
2014-03-13,0.05,2.32,2.39
2014-03-14,0.05,2.29,2.4
2014-03-17,0.05,2.32,2.4
2014-03-18,0.05,2.32,2.42
2014-03-19,0.05,2.31,2.37
2014-03-20,0.05,2.34,2.34
2014-03-21,0.05,2.3,2.32
2014-03-24,0.05,2.27,2.29
2014-03-25,0.05,2.28,2.28
2014-03-26,0.05,2.26,2.28
2014-03-27,0.05,2.24,2.26
2014-03-28,0.05,2.28,2.25
2014-03-31,0.05,2.29,2.26
2014-04-01,0.03,2.33,2.26
2014-04-02,0.03,2.35,2.25
2014-04-03,0.03,2.34,2.24
2014-04-04,0.03,2.31,2.25
2014-04-07,0.03,2.3,2.24
2014-04-08,0.03,2.29,2.26
2014-04-09,0.03,2.34,2.25
2014-04-10,0.03,2.28,2.24
2014-04-11,0.03,2.26,2.23
2014-04-14,0.03,2.28,2.22
2014-04-15,0.03,2.25,2.2
2014-04-16,0.03,2.26,2.19
2014-04-17,0.03,2.3,2.16
2014-04-18,0.03,2.3,2.16
2014-04-21,0.03,2.31,2.18
2014-04-22,0.03,2.28,2.15
2014-04-23,0.03,2.27,2.15
2014-04-24,0.03,2.27,2.14
2014-04-25,0.03,2.25,2.13
2014-04-28,0.03,2.26,2.13
2014-04-29,0.03,2.27,2.15
2014-04-30,0.03,2.25,2.16
2014-05-01,0.03,2.22,2.14
2014-05-02,0.03,2.18,2.14
2014-05-05,0.03,2.2,2.15
2014-05-06,0.03,2.18,2.15
2014-05-07,0.03,2.21,2.16
2014-05-08,0.03,2.21,2.18
2014-05-09,0.03,2.22,2.21
2014-05-12,0.03,2.25,2.2
2014-05-13,0.03,2.22,2.21
2014-05-14,0.03,2.15,2.2
2014-05-15,0.03,2.12,2.22
2014-05-16,0.03,2.14,2.2
2014-05-19,0.03,2.18,2.22
2014-05-20,0.03,2.17,2.23
2014-05-21,0.03,2.17,2.26
2014-05-22,0.03,2.19,2.25
2014-05-23,0.03,2.17,2.24
2014-05-26,0.03,2.17,2.24
2014-05-27,0.03,2.13,2.23
2014-05-28,0.03,2.07,2.23
2014-05-29,0.03,2.08,2.24
2014-05-30,0.03,2.11,2.22
2014-06-01,0.04,2.11,2.22
2014-06-02,0.04,2.15,2.22
2014-06-03,0.04,2.19,2.22
2014-06-04,0.04,2.2,2.23
2014-06-05,0.04,2.19,2.24
2014-06-06,0.04,2.19,2.23
2014-06-09,0.04,2.19,2.22
2014-06-10,0.04,2.19,2.21
2014-06-11,0.04,2.21,2.2
2014-06-12,0.04,2.16,2.21
2014-06-13,0.04,2.15,2.19
2014-06-16,0.04,2.12,2.17
2014-06-17,0.04,2.15,2.17
2014-06-18,0.04,2.13,2.19
2014-06-19,0.04,2.16,2.19
2014-06-20,0.04,2.13,2.2
2014-06-23,0.04,2.15,2.19
2014-06-24,0.04,2.1,2.18
2014-06-25,0.04,2.09,2.18
2014-06-26,0.04,2.07,2.18
2014-06-27,0.04,2.09,2.2
2014-06-30,0.04,2.06,2.18
2014-07-01,0.03,2.11,2.19
2014-07-02,0.03,2.15,2.2
2014-07-03,0.03,2.13,2.21
2014-07-04,0.03,2.13,2.21
2014-07-07,0.03,2.11,2.18
2014-07-08,0.03,2.07,2.18
2014-07-09,0.03,2.06,2.17
2014-07-10,0.03,2.09,2.2
2014-07-11,0.03,2.05,2.2
2014-07-14,0.03,2.07,2.21
2014-07-15,0.03,2.07,2.2
2014-07-16,0.03,2.05,2.19
2014-07-17,0.03,2.0,2.22
2014-07-18,0.03,1.99,2.2
2014-07-21,0.03,1.98,2.19
2014-07-22,0.03,1.99,2.19
2014-07-23,0.03,1.98,2.2
2014-07-24,0.03,1.99,2.2
2014-07-25,0.03,1.95,2.19
2014-07-28,0.03,1.96,2.19
2014-07-29,0.03,1.93,2.18
2014-07-30,0.03,2.01,2.17
2014-07-31,0.03,2.05,2.17
2014-08-01,0.03,2.05,2.23
2014-08-04,0.03,2.04,2.24
2014-08-05,0.03,2.02,2.25
2014-08-06,0.03,2.01,2.26
2014-08-07,0.03,1.99,2.28
2014-08-08,0.03,1.99,2.27
2014-08-11,0.03,1.97,2.28
2014-08-12,0.03,2.01,2.29
2014-08-13,0.03,2.0,2.31
2014-08-14,0.03,1.98,2.29
2014-08-15,0.03,1.92,2.29
2014-08-18,0.03,1.95,2.31
2014-08-19,0.03,1.94,2.33
2014-08-20,0.03,1.94,2.3
2014-08-21,0.03,1.92,2.28
2014-08-22,0.03,1.87,2.26
2014-08-25,0.03,1.86,2.25
2014-08-26,0.03,1.87,2.26
2014-08-27,0.03,1.86,2.24
2014-08-28,0.03,1.84,2.23
2014-08-29,0.03,1.87,2.23
2014-09-01,0.02,1.87,2.23
2014-09-02,0.02,1.89,2.25
2014-09-03,0.02,1.89,2.24
2014-09-04,0.02,1.91,2.25
2014-09-05,0.02,1.94,2.29
2014-09-08,0.02,1.94,2.26
2014-09-09,0.02,1.94,2.25
2014-09-10,0.02,1.96,2.26
2014-09-11,0.02,1.96,2.25
2014-09-12,0.02,2.04,2.27
2014-09-15,0.02,2.02,2.28
2014-09-16,0.02,2.05,2.3
2014-09-17,0.02,2.03,2.29
2014-09-18,0.02,2.04,2.28
2014-09-19,0.02,2.0,2.26
2014-09-22,0.02,1.99,2.27
2014-09-23,0.02,1.97,2.26
2014-09-24,0.02,1.98,2.27
2014-09-25,0.02,1.96,2.27
2014-09-26,0.02,1.95,2.27
2014-09-29,0.02,1.92,2.27
2014-09-30,0.02,1.94,2.29
2014-10-01,0.02,1.89,2.31
2014-10-02,0.02,1.91,2.32
2014-10-03,0.02,1.88,2.29
2014-10-06,0.02,1.89,2.3
2014-10-07,0.02,1.84,2.3
2014-10-08,0.02,1.89,2.32
2014-10-09,0.02,1.88,2.34
2014-10-10,0.02,1.86,2.36
2014-10-13,0.02,1.86,2.36
2014-10-14,0.02,1.82,2.39
2014-10-15,0.02,1.81,2.44
2014-10-16,0.02,1.82,2.47
2014-10-17,0.02,1.83,2.44
2014-10-20,0.02,1.83,2.45
2014-10-21,0.02,1.85,2.43
2014-10-22,0.02,1.84,2.42
2014-10-23,0.02,1.88,2.42
2014-10-24,0.02,1.88,2.43
2014-10-27,0.02,1.86,2.44
2014-10-28,0.02,1.88,2.43
2014-10-29,0.02,1.86,2.36
2014-10-30,0.02,1.84,2.39
2014-10-31,0.02,1.85,2.39
2014-11-01,0.02,1.85,2.39
2014-11-03,0.02,1.84,2.39
2014-11-04,0.02,1.83,2.39
2014-11-05,0.02,1.84,2.39
2014-11-06,0.02,1.85,2.4
2014-11-07,0.02,1.81,2.43
