TICKER,date,COMNAM,SHRCD,EXCHCD,SICCD,PRC,VOL,RET,SHROUT,BIDLO,ASKHI,OPENPRC,vwretd,ewretd,sprtrn,market_cap,Size,Momentum,ShortTermReversal,LME,LTurnover,DollarVolume,spread,Volatility,Beta,BetaSquared,idio_vol,r2_1,r12_2,r12_7,r36_13,RET_lag_1_mon,52_week_high,Rel_to_high,SUV,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TB3MS,T10Y2Y,BAA10Y
AAPL,2014-01-31,APPLE INC,11.0,3.0,3571,500.60001,18220292.0,1.637e-05,891989.0,493.54999,501.53,495.17999,-0.005796,-0.005268,-0.006465,446529702.31989,19.91701647862125,-0.0008484043031694,-1.933e-05,,,9121078357.40292,,0.0002185129950483,0.0043386342207952,1.8823746901855308e-05,0.0001559930522518,-1.933e-05,-0.0008483499999999,0.00018443,,-1.933e-05,,,0.6378075623636987,17.588,0.327,7.993,12.506,12.594,12.594,12.594,2.613,8.321,0.288,0.217,0.326,0.287,0.416,0.293,0.256,0.291,0.272,0.379,0.262,0.306,0.281,0.306,1.213,0.601,0.343,0.879,0.121,0.121,0.121,0.016,0.016,0.486,0.024,0.282,0.082,0.304,0.0,0.523,0.203,1.277,1.229,0.643,0.848,5.028,0.121,0.403,0.241,0.675,273.331,360.287,0.929,1.638,1.679,46.891,78.16,0.892,8.69,4.631,1.216,1.383,5.769,0.026,0.006,0.0,-0.087,3.189,0.286,0.0243999999999999,0.04,2.33,2.4
AAPL,2014-02-28,APPLE INC,11.0,3.0,3571,526.23999,13296879.0,-2.71e-05,891989.0,522.12,532.75,529.08002,0.001673,-0.000735,0.002783,469400282.44011,19.966966443085553,-0.0001490578762114,0.00019948,446663491.75,0.5730057206986853,6997349471.99121,0.0173957991630135,0.0001078522045683,0.228442545014974,0.0521859963729184,0.0103686884971913,0.00019948,-0.000149,-8.689999999999998e-05,3.508000000000002e-05,0.00019948,,,0.8961882898640114,18.776,0.296,7.764,0.463,0.466,0.466,0.466,2.698,8.872,0.293,0.213,0.325,0.283,0.416,0.288,0.255,0.284,0.258,0.362,0.262,0.291,0.245,0.291,1.106,0.578,0.35,0.91,0.09,0.09,0.09,0.017,0.017,0.518,0.024,0.255,0.062,0.225,0.0,0.538,0.162,1.337,1.25,0.643,0.852,4.961,0.088,0.381,0.206,0.615,169.323,223.873,0.963,1.645,1.685,46.891,59.513,0.842,9.583,4.965,1.236,1.359,6.003,0.028,0.006,0.0,-0.078,3.172,0.012,0.0232,0.05,2.33,2.35
AAPL,2014-03-31,APPLE INC,11.0,3.0,3571,536.73999,6023884.0,-2.24e-06,861745.0,535.92999,540.81,539.22998,0.009182,0.010512,0.007924,462533002.68255,19.952228469522417,0.0001196735272079,-1.116e-05,469400282.44011,0.3823729292768381,3233259437.92116,0.0201541422165764,7.015183646168755e-05,-0.0023821520111513,5.6746482042326094e-06,0.0001316315640437,-1.116e-05,0.0001196999999999,4.327e-05,0.0003595899999999,-1.116e-05,,,-1.4839703169063347,20.942,0.443,20.485,-1.929,-1.929,-1.932,-1.932,1.122,-2.369,0.193,-0.58,0.142,0.035,0.142,-0.627,-0.474,0.066,0.125,0.02,0.262,0.283,0.001,0.283,0.028,0.023,0.066,-0.715,1.716,1.726,1.714,0.203,0.201,0.037,0.216,0.245,1.35,20.485,0.006,0.096,0.86,0.442,-1.476,0.02,0.289,2.701,2.186,1.559,1.657,-2.791,0.008,0.06,0.387,0.763,0.972,2.303,12.755,0.465,13.084,8.194,0.594,5.444,13.364,0.0,0.027,0.0,-0.05,2.257,0.331,0.0,0.05,2.29,2.26
AAPL,2014-04-30,APPLE INC,11.0,3.0,3571,590.09003,16317269.0,-3.782e-05,861381.0,589.79999,599.42999,592.64001,0.003405,0.002607,0.002992,508292340.13143,20.046567312721507,0.0013523939820379,-2.963e-05,462533002.68255,0.4971038448424092,9628657753.72807,0.0090644167493026,0.0002207960157553,0.0040443792433983,1.63570034644318e-05,0.0001259118760924,-2.963e-05,0.00135192,0.0002317,-0.00020614,-2.963e-05,,,1.1352012463376386,20.332,0.296,7.764,0.519,0.523,0.523,0.523,2.921,9.607,0.293,0.213,0.325,0.283,0.416,0.288,0.255,0.284,0.258,0.362,0.262,0.291,0.245,0.291,1.106,0.578,0.35,0.91,0.09,0.09,0.09,0.017,0.017,0.518,0.024,0.255,0.062,0.225,0.0,0.538,0.162,1.337,1.25,0.643,0.852,4.961,0.088,0.381,0.206,0.615,169.323,223.873,0.963,1.645,1.685,46.891,59.513,0.842,9.583,4.965,1.236,1.359,6.003,0.028,0.006,0.0,-0.078,3.435,0.014,0.0207,0.03,2.25,2.16
AAPL,2014-05-31,APPLE INC,11.0,3.0,3571,633.0,20143668.0,-3.746e-05,861381.0,628.90002,644.16998,637.97998,0.000641,-0.002478,0.001844,545254173.0,20.11676261638674,0.0006838608790835,0.00018221,508292340.13143,0.4036414810952087,12750941844.0,0.0161953535681971,8.906992061828368e-05,-1.9607073823233363,3.8443734390972306,0.0181777186549225,0.00018221,0.0006836899999999,0.0002113199999999,0.0013630099999999,0.00018221,,,2.4718355737661697,20.513,0.302,7.873,0.537,0.54,0.54,0.54,3.097,10.108,0.292,0.214,0.328,0.286,0.421,0.29,0.257,0.28,0.26,0.357,0.262,0.295,0.241,0.295,1.121,0.577,0.354,0.88,0.12,0.12,0.12,0.018,0.018,0.484,0.025,0.257,0.081,0.293,0.0,0.519,0.199,1.306,1.219,0.643,0.866,5.372,0.12,0.407,0.237,0.687,124.63,164.875,0.934,1.61,1.652,46.891,54.959,0.84,9.375,4.743,1.247,1.417,6.1,0.029,0.006,0.0,-0.079,3.904,0.017,0.0208,0.03,2.11,2.22
AAPL,2014-06-30,APPLE INC,11.0,3.0,3571,92.93,49589028.0,0.00010328,5989171.0,92.09,93.725,92.1,0.001035,0.002778,-0.000372,556573661.0300001,20.137310084754205,-3.087743957130851e-05,0.00011881,545254173.0,1.565409743319837,4608308372.04,0.023989191482008,9.01615683837689e-05,-0.1347318699918331,0.0181526767914962,0.0110502761018422,0.00011881,-3.085000000000018e-05,-0.00014893,0.0009534299999999,0.00011881,,,0.518170736216454,20.939,0.302,7.873,0.551,0.555,0.555,0.555,3.162,10.318,0.292,0.214,0.328,0.286,0.421,0.29,0.257,0.28,0.26,0.357,0.262,0.295,0.241,0.295,1.121,0.577,0.354,0.88,0.12,0.12,0.12,0.018,0.018,0.484,0.025,0.257,0.081,0.293,0.0,0.519,0.199,1.306,1.219,0.643,0.866,5.372,0.12,0.407,0.237,0.687,124.63,164.875,0.934,1.61,1.652,46.891,54.959,0.84,9.375,4.743,1.247,1.417,6.1,0.029,0.006,0.0,-0.079,3.985,0.017,0.0202,0.04,2.06,2.18
AAPL,2014-07-31,APPLE INC,11.0,3.0,3571,95.6,57042647.0,-0.00025981,5987867.0,95.33,97.45,97.16,-0.019359,-0.016042,-0.019999,572440085.1999999,20.165418633243497,0.0003005742770596,-2.3379999999999996e-05,560107271.92,1.7838507391182523,5453277053.2,0.010042735042735,0.0001274632626949,-0.7563839799776015,0.5721167251667567,0.0112440090065225,-2.3379999999999996e-05,0.0003006099999999,0.0002008999999999,0.0001219899999999,-2.3379999999999996e-05,,,0.6863301971723311,21.536,0.302,7.873,0.567,0.571,0.571,0.571,3.252,10.612,0.292,0.214,0.328,0.286,0.421,0.29,0.257,0.28,0.26,0.357,0.262,0.295,0.241,0.295,1.121,0.577,0.354,0.88,0.12,0.12,0.12,0.018,0.018,0.484,0.025,0.257,0.081,0.293,0.0,0.519,0.199,1.306,1.219,0.643,0.866,5.372,0.12,0.407,0.237,0.687,124.63,164.875,0.934,1.61,1.652,46.891,54.959,0.84,9.375,4.743,1.247,1.417,6.1,0.029,0.006,0.0,-0.079,4.099,0.018,0.0197,0.03,2.05,2.17
AAPL,2014-08-31,APPLE INC,11.0,3.0,3571,102.5,44596965.0,2.445e-05,5987867.0,102.2,102.9,102.86,0.0038,0.005008,0.00332,613756367.5,20.23510861176461,0.0005055567476865,1.175e-05,572440085.1999999,1.6387191642462569,4571188912.5,0.0219939827782965,6.484669990994537e-05,0.4472420479239232,0.2000254494311848,0.0128449072699261,1.175e-05,0.0005054599999999,0.00033953,0.0002942199999999,1.175e-05,,,0.1297125226303457,21.79,0.254,8.585,4.102,4.126,4.126,4.126,3.445,10.888,0.287,0.216,0.332,0.288,0.428,0.293,0.26,0.282,0.272,0.364,0.262,0.31,0.245,0.31,1.148,0.577,0.354,0.861,0.139,0.143,0.139,0.018,0.017,0.438,0.025,0.269,0.095,0.346,0.025,0.51,0.218,1.266,1.207,0.643,0.863,5.654,0.14,0.426,0.26,0.741,110.531,145.932,0.859,1.524,1.563,46.891,55.813,0.828,9.077,4.459,1.241,1.441,6.768,0.031,0.006,0.0,-0.084,4.35,0.018,0.0183,0.03,1.87,2.23
AAPL,2014-09-30,APPLE INC,11.0,3.0,3571,100.75,55266585.0,6.393e-05,5866161.0,100.53,101.54,100.81,-0.004091,-0.006147,-0.002786,591015720.75,20.1973531752704,-0.0001393733067921,-6.352e-05,613756367.5,2.490185604469513,5568108438.75,0.0068259385665529,0.0001750322109634,0.4739203087141823,0.2246004590117458,0.0135385748673973,-6.352e-05,-0.00013924,-5.829e-05,0.000725,-6.352e-05,,,-0.5802185785394748,20.983,0.254,8.585,4.032,4.056,4.056,4.056,3.318,10.484,0.287,0.216,0.332,0.288,0.428,0.293,0.26,0.282,0.272,0.364,0.262,0.31,0.245,0.31,1.148,0.577,0.354,0.861,0.139,0.143,0.139,0.018,0.017,0.438,0.025,0.269,0.095,0.346,0.025,0.51,0.218,1.266,1.207,0.643,0.863,5.654,0.14,0.426,0.26,0.741,110.531,145.932,0.859,1.524,1.563,46.891,55.813,0.828,9.077,4.459,1.241,1.441,6.768,0.031,0.006,0.0,-0.084,4.189,0.018,0.0187,0.02,1.94,2.29
AAPL,2014-10-31,APPLE INC,11.0,3.0,3571,108.0,44639285.0,9.534e-05,5864840.0,107.21,108.04,108.01,0.011527,0.009145,0.011731,633402720.0,20.26661698634441,0.0009351256783982,-3.354e-05,586029483.9,2.1530011623362286,4821042780.0,0.0219913245233531,0.0001223516762236,0.577839060802827,0.3338979801894932,0.0135496900512246,-3.354e-05,0.0009347999999999,0.0007303,-0.00037057,-3.354e-05,,,-0.8795332433772313,22.488,0.254,8.585,4.322,4.348,4.348,4.348,3.556,11.236,0.287,0.216,0.332,0.288,0.428,0.293,0.26,0.282,0.272,0.364,0.262,0.31,0.245,0.31,1.148,0.577,0.354,0.861,0.139,0.143,0.139,0.018,0.017,0.438,0.025,0.269,0.095,0.346,0.025,0.51,0.218,1.266,1.207,0.643,0.863,5.654,0.14,0.426,0.26,0.741,110.531,145.932,0.859,1.524,1.563,46.891,55.813,0.828,9.077,4.459,1.241,1.441,6.768,0.031,0.006,0.0,-0.084,4.489,0.018,0.0174,0.02,1.85,2.39
AAPL,2014-11-30,APPLE INC,11.0,3.0,3571,118.93,24814402.0,-5.88e-06,5864840.0,118.05,119.4,119.27,-0.006097,-0.013253,-0.002542,697505421.2,20.36302084395934,0.0008215908951629,0.00011905,629531925.6,1.4401799799682788,2951176829.86,0.0094511767182894,8.310178863741042e-05,-1.003960632103417,1.007936950813492,0.0114396569148365,0.00011905,0.0008213299999999,0.00044688,0.0009040599999999,0.00011905,,,-2.0044611435869872,22.043,0.223,10.361,18.325,18.439,18.439,18.439,3.816,11.681,0.284,0.216,0.331,0.287,0.429,0.293,0.26,0.275,0.291,0.365,0.261,0.336,0.254,0.336,1.46,0.587,0.339,0.794,0.206,0.251,0.206,0.017,0.015,0.208,0.031,0.397,0.152,0.584,0.179,0.527,0.241,0.953,0.941,0.496,0.84,5.833,0.22,0.519,0.37,1.078,103.891,136.727,0.395,1.047,1.08,46.891,53.838,0.833,7.639,3.982,1.301,1.639,35.962,0.033,0.007,0.0,-0.092,5.292,0.876,0.0158,0.02,1.71,2.52
AAPL,2014-12-31,APPLE INC,11.0,3.0,3571,110.38,41403351.0,-0.00019019,5826419.0,110.21,113.13,112.82,-0.008784,-0.001034,-0.010311,643120129.22,20.28184209091069,0.0002635477703649,-0.00012203,674867138.8,1.4711006625175451,4570101883.38,0.0692347735554399,0.0001521972884216,0.4644083671803381,0.2156751315071077,0.0129110828471352,-0.00012203,0.0002636399999999,0.0002984299999999,8.709999999999998e-05,-0.00012203,647.34998,0.1705105482508858,-0.1237972911020341,20.324,0.223,10.361,17.008,17.113,17.113,17.113,3.518,10.77,0.284,0.216,0.331,0.287,0.429,0.293,0.26,0.275,0.291,0.365,0.261,0.336,0.254,0.336,1.46,0.587,0.339,0.794,0.206,0.251,0.206,0.017,0.015,0.208,0.031,0.397,0.152,0.584,0.179,0.527,0.241,0.953,0.941,0.496,0.84,5.833,0.22,0.519,0.37,1.078,103.891,136.727,0.395,1.047,1.08,46.891,53.838,0.833,7.639,3.982,1.301,1.639,35.962,0.033,0.007,0.0,-0.092,4.879,0.813,0.017,0.03,1.5,2.51
AAPL,2015-01-31,APPLE INC,11.0,3.0,3571,117.16,83753961.0,-0.0001463399999999,5824748.0,116.85,120.0,118.4,-0.012152,-0.009641,-0.012992,682427475.68,20.341166816637177,0.0007955548979681,0.00031134,655588665.88,2.0556749363429065,9812614070.76,0.0160155731540061,0.0002392475670095,0.0054863685782849,3.01002401767926e-05,7.39852668705769e-05,0.00031134,0.0007956199999999,0.00020686,-0.00016083,0.00031134,647.34998,0.1809840173317067,0.9829149008411128,21.566,0.223,10.361,18.052,18.164,18.164,18.164,3.733,11.428,0.284,0.216,0.331,0.287,0.429,0.293,0.26,0.275,0.291,0.365,0.261,0.336,0.254,0.336,1.46,0.587,0.339,0.794,0.206,0.251,0.206,0.017,0.015,0.208,0.031,0.397,0.152,0.584,0.179,0.527,0.241,0.953,0.941,0.496,0.84,5.833,0.22,0.519,0.37,1.078,103.891,136.727,0.395,1.047,1.08,46.891,53.838,0.833,7.639,3.982,1.301,1.639,35.962,0.033,0.007,0.0,-0.092,5.178,0.863,0.016,0.03,1.21,2.61
AAPL,2015-02-28,APPLE INC,11.0,3.0,3571,128.46001,62014948.0,-0.00014991,5824748.0,128.24001,130.57001,130.0,-0.002605,-0.001387,-0.002956,748247186.3274801,20.433243944352533,0.0006777560089599,0.00012617,671651691.88,1.9437599201838256,7966440840.229481,0.0240757400505505,0.0001321126956885,1.0711073746412272,1.1472710080108222,0.0133796031418175,0.00012617,0.0006776499999999,0.0005176,0.0014761099999999,0.00012617,647.34998,0.1984398145806693,0.1802256017099031,23.765,0.228,8.768,4.299,4.328,4.328,4.328,3.745,10.574,0.251,0.223,0.339,0.297,0.434,0.301,0.264,0.306,0.317,0.407,0.261,0.369,0.275,0.369,1.586,0.666,0.377,0.816,0.184,0.205,0.184,0.016,0.014,0.306,0.027,0.309,0.13,0.442,0.102,0.508,0.241,1.195,1.25,0.496,0.847,6.053,0.192,0.484,0.323,0.938,104.16,137.555,0.604,1.248,1.282,46.891,57.818,0.867,8.894,4.205,1.37,1.679,12.497,0.033,0.007,0.0,-0.115,5.101,0.863,0.0146,0.02,1.37,2.46
AAPL,2015-03-31,APPLE INC,11.0,3.0,3571,124.43,42304683.0,-0.0001535199999999,5824748.0,124.355,126.49,126.09,-0.007119,-0.003535,-0.008796,724773393.64,20.401369603465184,0.0002338522338336,0.00025314,751916719.32,1.4507283731986904,5263971705.690001,0.0153144094670894,0.0001440042386245,0.0177540581880313,0.000315206582144,0.0001379412433739,0.00025314,0.0002339399999999,0.00029293,0.0004073299999999,0.00025314,647.34998,0.1922144185437373,-0.635031875239872,23.019,0.228,8.768,4.164,4.192,4.192,4.192,3.627,10.242,0.251,0.223,0.339,0.297,0.434,0.301,0.264,0.306,0.317,0.407,0.261,0.369,0.275,0.369,1.586,0.666,0.377,0.816,0.184,0.205,0.184,0.016,0.014,0.306,0.027,0.309,0.13,0.442,0.102,0.508,0.241,1.195,1.25,0.496,0.847,6.053,0.192,0.484,0.323,0.938,104.16,137.555,0.604,1.248,1.282,46.891,57.818,0.867,8.894,4.205,1.37,1.679,12.497,0.033,0.007,0.0,-0.115,4.941,0.863,0.0151,0.03,1.38,2.55
AAPL,2015-04-30,APPLE INC,11.0,3.0,3571,125.15,83195423.0,-0.0002713,5762278.0,124.58,127.88,127.5,-0.010676,-0.011719,-0.010129,721149091.7,20.396356458476948,0.000192379445147,-0.00014706,724773393.64,1.3745135248367366,10411907188.45,0.0170224640714384,0.0001271261422978,-0.005816291589178,3.38292478503432e-05,0.0001771587662301,-0.00014706,0.0001924499999999,0.00018647,0.0001617399999999,-0.00014706,647.34998,0.1933266453487803,1.5570541556159687,22.904,0.228,8.768,4.188,4.217,4.217,4.217,3.609,10.191,0.251,0.223,0.339,0.297,0.434,0.301,0.264,0.306,0.317,0.407,0.261,0.369,0.275,0.369,1.586,0.666,0.377,0.816,0.184,0.205,0.184,0.016,0.014,0.306,0.027,0.309,0.13,0.442,0.102,0.508,0.241,1.195,1.25,0.496,0.847,6.053,0.192,0.484,0.323,0.938,104.16,137.555,0.604,1.248,1.282,46.891,57.818,0.867,8.894,4.205,1.37,1.679,12.497,0.033,0.007,0.0,-0.115,4.916,0.863,0.015,0.02,1.47,2.6
AAPL,2015-05-31,APPLE INC,11.0,3.0,3571,130.28,51248429.0,-0.00011383,5762278.0,129.89999,131.45,131.23,-0.005829,-0.002778,-0.006318,750709577.84,20.436529421007197,0.0004676747962466,-2.0070000000000003e-05,741259441.92,1.400933677566666,6676645330.12,0.0253184039401284,0.0001394741237309,0.4506882716236057,0.203119918179073,0.0089902593052504,-2.0070000000000003e-05,0.0004676499999999,0.00033115,8.545999999999996e-05,-2.0070000000000003e-05,647.34998,0.2012512613347111,0.4308579008667805,22.52,0.213,9.098,3.996,4.026,4.026,4.026,3.538,9.838,0.235,0.225,0.344,0.302,0.439,0.306,0.268,0.316,0.342,0.43,0.261,0.402,0.29,0.402,1.859,0.703,0.381,0.788,0.212,0.238,0.212,0.016,0.014,0.261,0.029,0.32,0.15,0.502,0.109,0.491,0.265,1.206,1.261,0.496,0.845,6.255,0.228,0.504,0.348,1.016,94.925,125.68,0.531,1.155,1.189,46.891,56.801,0.868,9.205,4.276,1.379,1.75,18.537,0.033,0.007,0.0,-0.12,4.912,0.863,0.016,0.02,1.51,2.72
