,0
0,index
1,TICKER
2,CAPEI
3,bm
4,evm
5,pe_op_basic
6,pe_op_dil
7,pe_exi
8,pe_inc
9,ps
10,pcf
11,dpr
12,npm
13,opmbd
14,opmad
15,gpm
16,ptpm
17,cfm
18,roa
19,roe
20,roce
21,efftax
22,aftret_eq
23,aftret_invcapx
24,aftret_equity
25,pretret_noa
26,pretret_earnat
27,GProf
28,equity_invcap
29,debt_invcap
30,totdebt_invcap
31,capital_ratio
32,int_debt
33,int_totdebt
34,cash_lt
35,invt_act
36,rect_act
37,debt_at
38,debt_ebitda
39,short_debt
40,curr_debt
41,lt_debt
42,profit_lct
43,ocf_lct
44,cash_debt
45,fcf_ocf
46,lt_ppent
47,dltt_be
48,debt_assets
49,debt_capital
50,de_ratio
51,intcov
52,intcov_ratio
53,cash_ratio
54,quick_ratio
55,curr_ratio
56,cash_conversion
57,inv_turn
58,at_turn
59,rect_turn
60,pay_turn
61,sale_invcap
62,sale_equity
63,sale_nwc
64,rd_sale
65,adv_sale
66,staff_sale
67,accrual
68,ptb
69,PEG_trailing
70,divyield
71,cash_conversion_imputed
72,sale_nwc_imputed
73,divyield_imputed
74,invt_act_imputed
75,inv_turn_imputed
76,curr_ratio_imputed
77,quick_ratio_imputed
78,cash_ratio_imputed
79,ocf_lct_imputed
80,profit_lct_imputed
81,curr_debt_imputed
82,pretret_earnat_imputed
83,pretret_noa_imputed
84,rect_act_imputed
85,PEG_trailing_imputed
86,sale_equity_imputed
87,int_totdebt_imputed
88,int_debt_imputed
89,intcov_ratio_imputed
90,ptb_imputed
91,bm_imputed
92,debt_ebitda_imputed
93,pe_inc_imputed
94,pe_op_dil_imputed
95,pe_op_basic_imputed
96,pe_exi_imputed
97,COMNAM
98,SHRCD
99,EXCHCD
100,SICCD
101,PRC
102,VOL
103,RET
104,SHROUT
105,BIDLO
106,ASKHI
107,OPENPRC
108,vwretd
109,ewretd
110,sprtrn
111,TICKER_encoded
112,SHRCD_encoded
113,EXCHCD_encoded
114,SICCD_encoded
115,market_cap
116,RET_calc
117,RET_interp
118,LME
119,LTurnover
120,DollarVolume
121,spread
122,Volatility
123,Beta
124,BetaSquared
125,idio_vol
126,r2_1
127,r12_2
128,r12_7
129,r36_13
130,RET_lag_1_mon
131,52_week_high
132,Rel_to_high
133,SUV
134,TB3MS
135,T10Y2Y
136,BAA10Y
137,BM
138,ME
139,Size
140,Momentum
141,ShortTermReversal
