,MissingValueCount
index,0
TICKER,0
CAPEI,0
bm,0
evm,0
pe_op_basic,0
pe_op_dil,0
pe_exi,0
pe_inc,0
ps,0
pcf,0
dpr,0
npm,0
opmbd,0
opmad,0
gpm,0
ptpm,0
cfm,0
roa,0
roe,0
roce,0
efftax,0
aftret_eq,0
aftret_invcapx,0
aftret_equity,0
pretret_noa,0
pretret_earnat,0
GProf,0
equity_invcap,0
debt_invcap,0
totdebt_invcap,0
capital_ratio,0
int_debt,0
int_totdebt,0
cash_lt,0
invt_act,0
rect_act,0
debt_at,0
debt_ebitda,0
short_debt,0
curr_debt,0
lt_debt,0
profit_lct,0
ocf_lct,0
cash_debt,0
fcf_ocf,0
lt_ppent,0
dltt_be,0
debt_assets,0
debt_capital,0
de_ratio,0
intcov,0
intcov_ratio,0
cash_ratio,0
quick_ratio,0
curr_ratio,0
cash_conversion,0
inv_turn,0
at_turn,0
rect_turn,0
pay_turn,0
sale_invcap,0
sale_equity,0
sale_nwc,0
rd_sale,0
adv_sale,0
staff_sale,0
accrual,0
ptb,0
PEG_trailing,0
divyield,0
cash_conversion_imputed,0
sale_nwc_imputed,0
divyield_imputed,0
invt_act_imputed,0
inv_turn_imputed,0
curr_ratio_imputed,0
quick_ratio_imputed,0
cash_ratio_imputed,0
ocf_lct_imputed,0
profit_lct_imputed,0
curr_debt_imputed,0
pretret_earnat_imputed,0
pretret_noa_imputed,0
rect_act_imputed,0
PEG_trailing_imputed,0
sale_equity_imputed,0
int_totdebt_imputed,0
int_debt_imputed,0
intcov_ratio_imputed,0
ptb_imputed,0
bm_imputed,0
debt_ebitda_imputed,0
pe_inc_imputed,0
pe_op_dil_imputed,0
pe_op_basic_imputed,0
pe_exi_imputed,0
COMNAM,0
SHRCD,0
EXCHCD,0
SICCD,0
PRC,0
VOL,0
RET,0
SHROUT,0
BIDLO,0
ASKHI,0
OPENPRC,0
vwretd,0
ewretd,0
sprtrn,0
TICKER_encoded,0
SHRCD_encoded,0
EXCHCD_encoded,0
SICCD_encoded,0
market_cap,0
RET_calc,0
RET_interp,0
LME,0
LTurnover,0
DollarVolume,0
spread,0
Volatility,0
Beta,0
BetaSquared,0
idio_vol,0
r2_1,0
r12_2,0
r12_7,0
r36_13,0
RET_lag_1_mon,0
52_week_high,0
Rel_to_high,0
SUV,0
TB3MS,0
T10Y2Y,0
BAA10Y,0
BM,0
ME,0
Size,0
Momentum,0
ShortTermReversal,0
