,0
Size,float64
bm,float64
Momentum,float64
r2_1,float64
r12_2,float64
r12_7,float64
ShortTermReversal,float64
market_cap,float64
DollarVolume,float64
spread,float64
RET,float64
idio_vol,float64
Beta,float64
BetaSquared,float64
pe_op_basic,float64
pe_op_dil,float64
Volatility,float64
SUV,float64
52_week_high,float64
Rel_to_high,float64
TB3MS,float64
T10Y2Y,float64
BAA10Y,float64
roa,float64
roe,float64
roce,float64
debt_assets,float64
debt_capital,float64
de_ratio,float64
cash_ratio,float64
quick_ratio,float64
curr_ratio,float64
at_turn,float64
inv_turn,float64
accrual,float64
vwretd,float64
ewretd,float64
sprtrn,float64
LME,float64
LTurnover,float64
TICKER,object
